image_id,observation_id,observer_label,observer_alternative_labels,observer_bbox,observer_bbox_area,observer_bbox_valid,observer_confidence,observer_entity_type,verifier_independent_label,verifier_independent_alternative_labels,verifier_confidence,verification_status,verifier_notes,matches_a1,a1_matching_labels,a1_salient,matches_a2,a2_matching_labels,a2_salient,bucket_a1,bucket_a2,heuristic_failure_category
p2b_0033,p2b_0033_c07,dark side bar,border; margin; pattern bar,"[0.902, 0.0, 0.098, 1.0]",0.098,True,0.75,decorative_mark,unknown,,,uncertain,Independent verifier observation: 'unknown' (alternatives: []),True,dark chest detail / object,False,False,,,2_true_removed,3_false_removed,verifier_visual_miss
p2b_0040,p2b_0040_c00,sun,drawing of sun; orange sun,"[0.0, 0.0, 0.525, 0.556]",0.2919,True,0.95,object,sun,drawing of a sun; crayon drawing,0.95,verified,"Independent verifier observation: 'sun' (alternatives: ['drawing of a sun', 'crayon drawing'])",True,sun; sun with rays,True,True,Sun,True,1_true_kept_verified,1_true_kept_verified,
p2b_0040,p2b_0040_c01,sky scribbles,blue scribbles; crayon sky,"[0.0, 0.0, 1.0, 0.583]",0.583,True,0.91,scribble,drawing,crayon drawing; children's drawing; sketch,0.95,verified,"Independent verifier observation: 'drawing' (alternatives: ['crayon drawing', ""children's drawing"", 'sketch'])",True,blue sky / blue strokes,False,True,Sky,True,1_true_kept_verified,1_true_kept_verified,
p2b_0040,p2b_0040_c02,purple flower,drawn flower; crayon flower,"[0.582, 0.06, 0.183, 0.312]",0.0571,True,0.92,object,flower,purple flower; drawing of a flower,0.99,verified,"Independent verifier observation: 'flower' (alternatives: ['purple flower', 'drawing of a flower'])",True,flowers; tall flowers; purple girl,True,True,Flowers,True,1_true_kept_verified,1_true_kept_verified,
p2b_0040,p2b_0040_c03,pink flower,drawn flower; tall flower,"[0.755, 0.01, 0.16, 0.517]",0.08272,True,0.93,object,flower,pink flower; drawing of a flower,0.95,verified,"Independent verifier observation: 'flower' (alternatives: ['pink flower', 'drawing of a flower'])",True,flowers; tall flowers,True,True,Flowers,True,1_true_kept_verified,1_true_kept_verified,
p2b_0040,p2b_0040_c04,dark scribbled figure,black monster; dark shadow figure; creature,"[0.368, 0.27, 0.245, 0.51]",0.12495,True,0.94,object,monster,creature; shadow figure; drawing; scary figure,0.95,verified,"Independent verifier observation: 'monster' (alternatives: ['creature', 'shadow figure', 'drawing', 'scary figure'])",False,,,False,,,4_false_kept_verified,4_false_kept_verified,
p2b_0040,p2b_0040_c05,purple stick figure,purple child drawing; stick person,"[0.251, 0.496, 0.134, 0.262]",0.03511,True,0.91,object,stick figure,drawing; person; cartoon character,0.95,verified,"Independent verifier observation: 'stick figure' (alternatives: ['drawing', 'person', 'cartoon character'])",True,purple girl,True,True,Stick figures,True,1_true_kept_verified,1_true_kept_verified,
p2b_0040,p2b_0040_c06,orange stick figure,orange child drawing; small stick figure,"[0.564, 0.58, 0.118, 0.252]",0.02974,True,0.9,object,drawing of a stick figure,child's drawing of a person; cartoon character drawing,0.95,verified,"Independent verifier observation: 'drawing of a stick figure' (alternatives: [""child's drawing of a person"", 'cartoon character drawing'])",False,,,True,Stick figures,True,4_false_kept_verified,1_true_kept_verified,
p2b_0040,p2b_0040_c07,girl figure,stick figure girl; purple dress figure,"[0.661, 0.416, 0.176, 0.348]",0.06125,True,0.93,object,drawing of a girl,stick figure girl; child drawing of a person; sketch of a girl,0.98,verified,"Independent verifier observation: 'drawing of a girl' (alternatives: ['stick figure girl', 'child drawing of a person', 'sketch of a girl'])",True,purple girl,True,False,,,1_true_kept_verified,4_false_kept_verified,
p2b_0040,p2b_0040_c08,flower garden,flowers at bottom; crayon flowers,"[0.0, 0.508, 1.0, 0.492]",0.492,True,0.95,object,drawing of children in a meadow,child's crayon drawing; stick figure family drawing,0.95,verified,"Independent verifier observation: 'drawing of children in a meadow' (alternatives: [""child's crayon drawing"", 'stick figure family drawing'])",True,flowers; tall flowers,True,True,Flowers,True,1_true_kept_verified,1_true_kept_verified,
p2b_0047,p2b_0047_c00,child on the left,boy; person,"[0.082, 0.192, 0.258, 0.613]",0.15815,True,0.93,object,drawing of a person,child drawing; sketch of a person,0.95,verified,"Independent verifier observation: 'drawing of a person' (alternatives: ['child drawing', 'sketch of a person'])",False,,,False,,,4_false_kept_verified,4_false_kept_verified,
p2b_0047,p2b_0047_c01,snowman,snow figure,"[0.345, 0.32, 0.263, 0.448]",0.11782,True,0.96,object,snowman,drawing of a snowman; children's drawing of a snowman,0.99,verified,"Independent verifier observation: 'snowman' (alternatives: ['drawing of a snowman', ""children's drawing of a snowman""])",True,snowman,True,True,Snowman,True,1_true_kept_verified,1_true_kept_verified,
p2b_0047,p2b_0047_c02,child on the right,girl; person,"[0.722, 0.144, 0.24, 0.663]",0.15912,True,0.94,object,drawing of a girl,child's drawing; sketch of a person,0.95,verified,"Independent verifier observation: 'drawing of a girl' (alternatives: [""child's drawing"", 'sketch of a person'])",False,,,False,,,4_false_kept_verified,4_false_kept_verified,
p2b_0047,p2b_0047_c03,footprints,tracks; steps,"[0.07, 0.814, 0.81, 0.183]",0.14823,True,0.89,object,footprints,paw prints; tracks; shoes,0.8,verified,"Independent verifier observation: 'footprints' (alternatives: ['paw prints', 'tracks', 'shoes'])",True,footprints / dark ground marks,False,False,,,1_true_kept_verified,4_false_kept_verified,
p2b_0047,p2b_0047_c04,snowflakes,stars; snow,"[0.033, 0.024, 0.943, 0.668]",0.62992,True,0.88,symbol,drawing,child's drawing; artwork; sketch,0.95,rejected,"Independent verifier observation: 'drawing' (alternatives: [""child's drawing"", 'artwork', 'sketch'])",True,snowflake-like symbols,False,True,Snowflakes,True,2_true_removed,2_true_removed,verifier_visual_miss
p2b_0047,p2b_0047_c05,hand-drawn arc lines,snowball motion; motion lines,"[0.358, 0.233, 0.238, 0.148]",0.03522,True,0.78,abstract_mark,unknown,abstract lines; sketches,0.1,uncertain,"Independent verifier observation: 'unknown' (alternatives: ['abstract lines', 'sketches'])",True,raised hand; raised hand; ground line,False,False,,,2_true_removed,3_false_removed,verifier_visual_miss
p2b_0047,p2b_0047_c06,signature or text in corner,text; writing,"[0.38, 0.0, 0.1, 0.065]",0.0065,True,0.82,text_like,unknown,abstract; fragment,0.0,uncertain,"Independent verifier observation: 'unknown' (alternatives: ['abstract', 'fragment'])",False,,,False,,,3_false_removed,3_false_removed,
p2b_0054,p2b_0054_c00,umbrella,parasol,"[0.485, 0.1488, 0.228, 0.227]",0.05176,True,0.95,object,people with umbrella,drawing of people under umbrella; family with umbrella; persons holding umbrella,0.95,verified,"Independent verifier observation: 'people with umbrella' (alternatives: ['drawing of people under umbrella', 'family with umbrella', 'persons holding umbrella'])",True,red umbrella,True,True,Figures under umbrella; Umbrella,True,1_true_kept_verified,1_true_kept_verified,
p2b_0054,p2b_0054_c01,cloud,cumulus,"[0.063, 0.1189, 0.298, 0.156]",0.04649,True,0.96,geometric_shape,cloud,cumulus cloud; drawing of a cloud,1.0,verified,"Independent verifier observation: 'cloud' (alternatives: ['cumulus cloud', 'drawing of a cloud'])",True,clouds,True,True,Clouds,True,1_true_kept_verified,1_true_kept_verified,
p2b_0054,p2b_0054_c02,cloud,cumulus,"[0.469, 0.0141, 0.354, 0.112]",0.03965,True,0.95,geometric_shape,cloud,storm cloud; cumulus cloud,0.95,verified,"Independent verifier observation: 'cloud' (alternatives: ['storm cloud', 'cumulus cloud'])",True,clouds,True,True,Clouds,True,1_true_kept_verified,1_true_kept_verified,
p2b_0054,p2b_0054_c03,raindrops,rain; rain drops,"[0.021, 0.0201, 0.955, 0.804]",0.76782,True,0.92,symbol,drawing,sketch; artwork,1.0,rejected,"Independent verifier observation: 'drawing' (alternatives: ['sketch', 'artwork'])",True,rain / raindrops,True,True,Raindrops,True,2_true_removed,2_true_removed,verifier_visual_miss
p2b_0054,p2b_0054_c04,person,figure; child; girl,"[0.448, 0.247, 0.155, 0.292]",0.04526,True,0.95,object,person,child; girl; drawing of a person,0.95,verified,"Independent verifier observation: 'person' (alternatives: ['child', 'girl', 'drawing of a person'])",False,,,False,,,4_false_kept_verified,4_false_kept_verified,
p2b_0054,p2b_0054_c05,person,figure; child; girl,"[0.595, 0.303, 0.125, 0.262]",0.03275,True,0.95,object,person,child; girl; drawing of a person,0.95,verified,"Independent verifier observation: 'person' (alternatives: ['child', 'girl', 'drawing of a person'])",False,,,False,,,4_false_kept_verified,4_false_kept_verified,
p2b_0054,p2b_0054_c06,house,building; cottage,"[0.352, 0.461, 0.165, 0.302]",0.04983,True,0.94,object,rain,raindrops; weather,0.85,rejected,"Independent verifier observation: 'rain' (alternatives: ['raindrops', 'weather'])",True,house,True,True,House,True,2_true_removed,2_true_removed,bad_bbox_or_crop_construction
p2b_0054,p2b_0054_c07,sunflower,flower; plant,"[0.266, 0.404, 0.134, 0.312]",0.04181,True,0.92,object,flower,drooping flower; plant,0.95,verified,"Independent verifier observation: 'flower' (alternatives: ['drooping flower', 'plant'])",True,flower,False,True,Flowers,True,1_true_kept_verified,1_true_kept_verified,
p2b_0054,p2b_0054_c08,hill,mound; ground,"[0.0, 0.531, 1.0, 0.382]",0.382,True,0.93,geometric_shape,hill,landscape; ground; meadow,0.95,verified,"Independent verifier observation: 'hill' (alternatives: ['landscape', 'ground', 'meadow'])",True,grassy hill / ground,True,True,Hill,False,1_true_kept_verified,1_true_kept_verified,
p2b_0054,p2b_0054_c09,flowers,plants; blossoms,"[0.129, 0.698, 0.66, 0.202]",0.13332,True,0.9,object,flowers,drawing of flowers; botanical sketch; wildflowers,0.95,verified,"Independent verifier observation: 'flowers' (alternatives: ['drawing of flowers', 'botanical sketch', 'wildflowers'])",True,flower; flowers / plants,False,True,Flowers,True,1_true_kept_verified,1_true_kept_verified,
p2b_0061,p2b_0061_c00,stick figure,person drawing; human figure; sketch of person,"[0.293, 0.114, 0.413, 0.825]",0.34072,True,0.98,object,stick figure,drawing of a person; doodle,1.0,verified,"Independent verifier observation: 'stick figure' (alternatives: ['drawing of a person', 'doodle'])",True,stick human figure,True,True,Stick figure,True,1_true_kept_verified,1_true_kept_verified,
p2b_0061,p2b_0061_c01,head,face; circle,"[0.329, 0.114, 0.377, 0.312]",0.11762,True,0.95,geometric_shape,face,drawing of a face; smiley face,0.99,verified,"Independent verifier observation: 'face' (alternatives: ['drawing of a face', 'smiley face'])",True,head / face,True,True,Head,True,1_true_kept_verified,1_true_kept_verified,
p2b_0061,p2b_0061_c02,left eye,eye; dot,"[0.45, 0.202, 0.059, 0.048]",0.00283,True,0.9,geometric_shape,unknown,blurred circular texture; spot; blob,0.0,uncertain,"Independent verifier observation: 'unknown' (alternatives: ['blurred circular texture', 'spot', 'blob'])",True,eyes,True,True,Eyes,False,2_true_removed,2_true_removed,verifier_visual_miss
p2b_0061,p2b_0061_c03,right eye,eye; dot,"[0.556, 0.205, 0.059, 0.045]",0.00265,True,0.9,geometric_shape,unknown,,,uncertain,Independent verifier observation: 'unknown' (alternatives: []),True,eyes,True,True,Eyes,False,2_true_removed,2_true_removed,verifier_visual_miss
p2b_0061,p2b_0061_c04,mouth,open mouth; oval,"[0.421, 0.276, 0.196, 0.103]",0.02019,True,0.92,geometric_shape,mouth,oval; ellipse; shape,0.95,verified,"Independent verifier observation: 'mouth' (alternatives: ['oval', 'ellipse', 'shape'])",True,open mouth / oval mouth,True,True,Mouth,True,1_true_kept_verified,1_true_kept_verified,
p2b_0061,p2b_0061_c05,torso,body line; vertical line,"[0.451, 0.435, 0.033, 0.437]",0.01442,True,0.9,geometric_shape,line segment,stem; stroke; line,0.8,verified,"Independent verifier observation: 'line segment' (alternatives: ['stem', 'stroke', 'line'])",True,torso / body line,False,False,,,1_true_kept_verified,4_false_kept_verified,
p2b_0061,p2b_0061_c06,left arm,arm; line,"[0.293, 0.473, 0.176, 0.098]",0.01725,True,0.88,geometric_shape,arm,limb; line; stroke,0.6,verified,"Independent verifier observation: 'arm' (alternatives: ['limb', 'line', 'stroke'])",True,arms,True,True,Arms,True,1_true_kept_verified,1_true_kept_verified,
p2b_0061,p2b_0061_c07,right arm,arm; line,"[0.479, 0.423, 0.221, 0.155]",0.03426,True,0.88,geometric_shape,unknown,abstract line; stroke,0.0,uncertain,"Independent verifier observation: 'unknown' (alternatives: ['abstract line', 'stroke'])",True,arms,True,True,Arms,True,2_true_removed,2_true_removed,verifier_visual_miss
p2b_0061,p2b_0061_c08,left leg,leg; line,"[0.325, 0.817, 0.122, 0.122]",0.01488,True,0.88,geometric_shape,line segment,stroke; diagonal line; mark,0.9,verified,"Independent verifier observation: 'line segment' (alternatives: ['stroke', 'diagonal line', 'mark'])",True,legs,False,True,Legs,True,1_true_kept_verified,1_true_kept_verified,
p2b_0061,p2b_0061_c09,right leg,leg; line,"[0.484, 0.803, 0.198, 0.092]",0.01822,True,0.88,geometric_shape,unknown,line; stroke; segment,,uncertain,"Independent verifier observation: 'unknown' (alternatives: ['line', 'stroke', 'segment'])",True,legs,False,True,Legs,True,2_true_removed,2_true_removed,verifier_visual_miss
p2b_0068,p2b_0068_c00,house,building; home,"[0.238, 0.188, 0.188, 0.536]",0.10077,True,0.98,object,house,building; home,0.99,verified,"Independent verifier observation: 'house' (alternatives: ['building', 'home'])",True,house,True,True,House,True,1_true_kept_verified,1_true_kept_verified,
p2b_0068,p2b_0068_c01,tree,green tree; plant,"[0.005, 0.287, 0.182, 0.468]",0.08518,True,0.95,object,tree,drawing of a tree; plant; green oval shape with red trunk,0.95,verified,"Independent verifier observation: 'tree' (alternatives: ['drawing of a tree', 'plant', 'green oval shape with red trunk'])",True,tree,True,True,Tree,True,1_true_kept_verified,1_true_kept_verified,
p2b_0068,p2b_0068_c02,sun,shining sun; sunlight,"[0.418, 0.013, 0.236, 0.222]",0.05239,True,0.97,symbol,sun,drawing of a sun; yellow sun,0.99,verified,"Independent verifier observation: 'sun' (alternatives: ['drawing of a sun', 'yellow sun'])",True,sun,True,True,Sun,True,1_true_kept_verified,1_true_kept_verified,
p2b_0068,p2b_0068_c03,rainbow,colorful arc,"[0.522, 0.284, 0.268, 0.201]",0.05387,True,0.96,symbol,rainbow,color arcs; painted arch,0.98,verified,"Independent verifier observation: 'rainbow' (alternatives: ['color arcs', 'painted arch'])",True,rainbow,True,True,Rainbow,True,1_true_kept_verified,1_true_kept_verified,
p2b_0068,p2b_0068_c04,cloud,blue cloud,"[0.66, 0.018, 0.268, 0.245]",0.06566,True,0.94,symbol,cloud,drawing of a cloud; blue cloud,0.95,verified,"Independent verifier observation: 'cloud' (alternatives: ['drawing of a cloud', 'blue cloud'])",True,clouds,False,True,Clouds,True,1_true_kept_verified,1_true_kept_verified,
p2b_0068,p2b_0068_c05,smoke,chimney smoke; cloud of smoke,"[0.69, 0.071, 0.211, 0.178]",0.03756,True,0.91,abstract_mark,unknown,abstract shading; scribble,0.1,uncertain,"Independent verifier observation: 'unknown' (alternatives: ['abstract shading', 'scribble'])",False,,,False,,,3_false_removed,3_false_removed,
p2b_0068,p2b_0068_c06,person,man; father; boy,"[0.48, 0.493, 0.088, 0.232]",0.02042,True,0.95,object,person,drawing of a boy; stick figure; child drawing,0.95,verified,"Independent verifier observation: 'person' (alternatives: ['drawing of a boy', 'stick figure', 'child drawing'])",False,,,False,,,4_false_kept_verified,4_false_kept_verified,
p2b_0068,p2b_0068_c07,person,child; girl; daughter,"[0.582, 0.543, 0.076, 0.158]",0.01201,True,0.92,object,drawing of a little girl,child drawing; stick figure girl; hand-drawn child,0.95,verified,"Independent verifier observation: 'drawing of a little girl' (alternatives: ['child drawing', 'stick figure girl', 'hand-drawn child'])",False,,,False,,,4_false_kept_verified,4_false_kept_verified,
p2b_0068,p2b_0068_c08,person,woman; mother; girl,"[0.658, 0.509, 0.09, 0.238]",0.02142,True,0.96,object,drawing of a girl,child drawing of a person; stick figure girl; sketch of a woman,0.95,verified,"Independent verifier observation: 'drawing of a girl' (alternatives: ['child drawing of a person', 'stick figure girl', 'sketch of a woman'])",False,,,False,,,4_false_kept_verified,4_false_kept_verified,
p2b_0068,p2b_0068_c09,cat,pet; kitten; animal,"[0.778, 0.642, 0.106, 0.148]",0.01569,True,0.88,object,drawing of a cat,sketch of a cat; feline cartoon drawing; cat with a curly tail,0.8,verified,"Independent verifier observation: 'drawing of a cat' (alternatives: ['sketch of a cat', 'feline cartoon drawing', 'cat with a curly tail'])",True,cat / small animal,False,False,,,1_true_kept_verified,4_false_kept_verified,
p2b_0068,p2b_0068_c10,kite,flying kite; toy,"[0.74, 0.35, 0.217, 0.288]",0.0625,True,0.9,object,kite,string of diamonds; paper chain,0.95,verified,"Independent verifier observation: 'kite' (alternatives: ['string of diamonds', 'paper chain'])",True,kite / string of diamond shapes,False,True,Kite,True,1_true_kept_verified,1_true_kept_verified,
p2b_0068,p2b_0068_c11,ground,grass hill; field; lawn,"[0.0, 0.718, 0.992, 0.198]",0.19642,True,0.93,object,hill,grass; ground; meadow,0.95,verified,"Independent verifier observation: 'hill' (alternatives: ['grass', 'ground', 'meadow'])",False,,,False,,,4_false_kept_verified,4_false_kept_verified,
